Source,Target
Manut Boonjumnong,25512
25512,Boxing
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,2004
2004,Gold
Manut Boonjumnong,25513
25513,Boxing
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,2008
2008,Silver
Yaowapa Boorapolchai,25543
25543,Taekwondo
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,2004
2004,Bronze
Arkom Chenglai,39640
39640,Boxing
Boxing,Boxing Men's Welterweight
Boxing Men's Welterweight,1992
1992,Bronze
Tawin Hanprab,90102
90102,Taekwondo
Taekwondo,Taekwondo Men's Flyweight
Taekwondo Men's Flyweight,2016
2016,Silver
Prapawadee Jaroenrattanatarakoon,106625
106625,Weightlifting
Weightlifting,Weightlifting Women's Featherweight
Weightlifting Women's Featherweight,2008
2008,Gold
Somjit Jongjohor,110296
110296,Boxing
Boxing,Boxing Men's Flyweight
Boxing Men's Flyweight,2008
2008,Gold
Wandee Kameaim,112610
112610,Weightlifting
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,2004
2004,Bronze
Somluck Kamsing,112759
112759,Boxing
Boxing,Boxing Men's Featherweight
Boxing Men's Featherweight,1996
1996,Gold
Vichai Khadpo,116666
116666,Boxing
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,1996
1996,Bronze
Sinphet Kruaithong,127578
127578,Weightlifting
Weightlifting,Weightlifting Men's Bantamweight
Weightlifting Men's Bantamweight,2016
2016,Bronze
Phajol Moolsan,162556
162556,Boxing
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,1988
1988,Bronze
Worapoj Petchkoom,186513
186513,Boxing
Boxing,Boxing Men's Bantamweight
Boxing Men's Bantamweight,2004
2004,Silver
Udomporn Polsak,191019
191019,Weightlifting
Weightlifting,Weightlifting Women's Featherweight
Weightlifting Women's Featherweight,2004
2004,Gold
Kaeo Pongprayoon,191201
191201,Boxing
Boxing,Boxing Men's Light-Flyweight
Boxing Men's Light-Flyweight,2012
2012,Silver
Wijan Ponlid,191226
191226,Boxing
Boxing,Boxing Men's Flyweight
Boxing Men's Flyweight,2000
2000,Gold
Payao Poontarat,191365
191365,Boxing
Boxing,Boxing Men's Light-Flyweight
Boxing Men's Light-Flyweight,1976
1976,Bronze
Suriya Prasathinphimai,192717
192717,Boxing
Boxing,Boxing Men's Middleweight
Boxing Men's Middleweight,2004
2004,Bronze
Buttree Puedpong,194038
194038,Taekwondo
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,2008
2008,Silver
Pimsiri Sirikaew,221620
221620,Weightlifting
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,2012
2012,Silver
Pimsiri Sirikaew,221621
221621,Weightlifting
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,2016
2016,Silver
Chanatip Sonkham,225260
225260,Taekwondo
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,2012
2012,Bronze
Sukanya Srisurat,226961
226961,Weightlifting
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,2016
2016,Gold
Khassaraporn Suta,232640
232640,Weightlifting
Weightlifting,Weightlifting Women's Lightweight
Weightlifting Women's Lightweight,2000
2000,Bronze
Sopita Tanasan,236100
236100,Weightlifting
Weightlifting,Weightlifting Women's Flyweight
Weightlifting Women's Flyweight,2016
2016,Gold
Pornchai Thongburan,239473
239473,Boxing
Boxing,Boxing Men's Light-Middleweight
Boxing Men's Light-Middleweight,2000
2000,Bronze
Pawina Thongsuk,239478
239478,Weightlifting
Weightlifting,Weightlifting Women's Heavyweight
Weightlifting Women's Heavyweight,2004
2004,Gold
Thawee Umponmaha,246272
246272,Boxing
Boxing,Boxing Men's Light-Welterweight
Boxing Men's Light-Welterweight,1984
1984,Silver
Arlee Wiratthaworn,261979
261979,Weightlifting
Weightlifting,Weightlifting Women's Flyweight
Weightlifting Women's Flyweight,2004
2004,Bronze
Panipak Wongpattanakit,262712
262712,Taekwondo
Taekwondo,Taekwondo Women's Flyweight
Taekwondo Women's Flyweight,2016
2016,Bronze
Sudaporn Seesondee,11939
11939,Boxing
Boxing,Women's Light (57-60kg)
Women's Light (57-60kg),2020
2020,Bronze
Panipak Wongpattanakit,14506
14506,Taekwondo
Taekwondo,Women -49kg
Women -49kg,2020
2020,Gold
Surodchana Khambao,1898024
1898024,Weightlifting
Weightlifting,Women's 49kg
Women's 49kg,2024
2024,Bronze
Theerapong Silachai,1898059
1898059,Weightlifting
Weightlifting,Men's 61kg
Men's 61kg,2024
2024,Silver
Weeraphon Wichuma,1898067
1898067,Weightlifting
Weightlifting,Men's 73kg
Men's 73kg,2024
2024,Silver
Janjaem Suwannapheng,1898283
1898283,Boxing
Boxing,Women's 66kg
Women's 66kg,2024
2024,Bronze
Panipak Wongpattanakit,1902841
1902841,Taekwondo
Taekwondo,Women -49kg
Women -49kg,2024
2024,Gold
Kunlavut Vitidsarn,1926294
1926294,Badminton
Badminton,Men's Singles
Men's Singles,2024
2024,Silver
