Id,Type
Boxing Men's Light-Flyweight,Event
90102,Player ID
1902841,Player ID
Weightlifting Women's Featherweight,Event
2024,Year
Wandee Kameaim,Name
1996,Year
1984,Year
106625,Player ID
Taekwondo,Sport
Theerapong Silachai,Name
Boxing Men's Light-Middleweight,Event
Sopita Tanasan,Name
Vichai Khadpo,Name
2000,Year
1898024,Player ID
Prapawadee Jaroenrattanatarakoon,Name
25513,Player ID
Women's Light (57-60kg),Event
Sukanya Srisurat,Name
Pawina Thongsuk,Name
Suriya Prasathinphimai,Name
Janjaem Suwannapheng,Name
Chanatip Sonkham,Name
Yaowapa Boorapolchai,Name
194038,Player ID
Kaeo Pongprayoon,Name
112610,Player ID
191201,Player ID
Pornchai Thongburan,Name
Weightlifting Men's Bantamweight,Event
191226,Player ID
Taekwondo Men's Flyweight,Event
186513,Player ID
Boxing Men's Middleweight,Event
246272,Player ID
2008,Year
Men's 73kg,Event
1926294,Player ID
1988,Year
239473,Player ID
Udomporn Polsak,Name
2004,Year
25543,Player ID
Boxing Men's Welterweight,Event
Wijan Ponlid,Name
226961,Player ID
Arkom Chenglai,Name
Somjit Jongjohor,Name
1898059,Player ID
11939,Player ID
Weightlifting,Sport
Tawin Hanprab,Name
Men's 61kg,Event
Boxing Men's Light-Welterweight,Event
Worapoj Petchkoom,Name
2020,Year
Phajol Moolsan,Name
2016,Year
191019,Player ID
Thawee Umponmaha,Name
25512,Player ID
Women's 66kg,Event
Men's Singles,Event
Taekwondo Women's Flyweight,Event
1992,Year
1898067,Player ID
Silver,Medal
Boxing Men's Featherweight,Event
221621,Player ID
1898283,Player ID
225260,Player ID
191365,Player ID
Boxing Men's Flyweight,Event
Arlee Wiratthaworn,Name
261979,Player ID
239478,Player ID
Gold,Medal
Sinphet Kruaithong,Name
Somluck Kamsing,Name
262712,Player ID
116666,Player ID
Weightlifting Women's Lightweight,Event
112759,Player ID
2012,Year
Weeraphon Wichuma,Name
Kunlavut Vitidsarn,Name
Boxing Men's Bantamweight,Event
Sudaporn Seesondee,Name
236100,Player ID
162556,Player ID
Payao Poontarat,Name
Bronze,Medal
110296,Player ID
221620,Player ID
Buttree Puedpong,Name
Surodchana Khambao,Name
14506,Player ID
192717,Player ID
Badminton,Sport
Women -49kg,Event
Women's 49kg,Event
Weightlifting Women's Flyweight,Event
232640,Player ID
127578,Player ID
Boxing,Sport
Manut Boonjumnong,Name
1976,Year
Khassaraporn Suta,Name
39640,Player ID
Weightlifting Women's Heavyweight,Event
Panipak Wongpattanakit,Name
Pimsiri Sirikaew,Name
