Id,Type,Year
Weightlifting Women's Flyweight,Event,
Thawee Umponmaha,Name,
Boxing Men's Featherweight,Event,
Pimsiri Sirikaew,Name,
Boxing Men's Light-Welterweight,Event,
239473,PlayerID,2000
Badminton,Sport,
191226,PlayerID,2000
Women's Light (57-60kg),Event,
Boxing Men's Bantamweight,Event,
221621,PlayerID,2016
Khassaraporn Suta,Name,
25513,PlayerID,2008
25543,PlayerID,2004
Pawina Thongsuk,Name,
Kaeo Pongprayoon,Name,
Yaowapa Boorapolchai,Name,
236100,PlayerID,2016
90102,PlayerID,2016
1902841,PlayerID,2024
Sinphet Kruaithong,Name,
1926294,PlayerID,2024
262712,PlayerID,2016
Weightlifting,Sport,
192717,PlayerID,2004
25512,PlayerID,2004
Women -49kg,Event,
110296,PlayerID,2008
Men's 73kg,Event,
162556,PlayerID,1988
Taekwondo Women's Flyweight,Event,
Surodchana Khambao,Name,
Panipak Wongpattanakit,Name,
Silver,Medal,
Boxing Men's Middleweight,Event,
1898067,PlayerID,2024
Wijan Ponlid,Name,
Taekwondo,Sport,
Sudaporn Seesondee,Name,
246272,PlayerID,1984
225260,PlayerID,2012
Arlee Wiratthaworn,Name,
Boxing Men's Light-Flyweight,Event,
Buttree Puedpong,Name,
Weightlifting Women's Heavyweight,Event,
261979,PlayerID,2004
226961,PlayerID,2016
112610,PlayerID,2004
Weightlifting Women's Featherweight,Event,
194038,PlayerID,2008
Pornchai Thongburan,Name,
Payao Poontarat,Name,
Udomporn Polsak,Name,
Worapoj Petchkoom,Name,
Gold,Medal,
Somluck Kamsing,Name,
Weightlifting Women's Lightweight,Event,
14506,PlayerID,2020
Men's 61kg,Event,
Weightlifting Men's Bantamweight,Event,
Boxing,Sport,
Janjaem Suwannapheng,Name,
232640,PlayerID,2000
191201,PlayerID,2012
Taekwondo Men's Flyweight,Event,
Boxing Men's Welterweight,Event,
Kunlavut Vitidsarn,Name,
Boxing Men's Flyweight,Event,
Phajol Moolsan,Name,
127578,PlayerID,2016
Women's 49kg,Event,
Arkom Chenglai,Name,
221620,PlayerID,2012
Tawin Hanprab,Name,
Somjit Jongjohor,Name,
1898283,PlayerID,2024
Weeraphon Wichuma,Name,
186513,PlayerID,2004
Theerapong Silachai,Name,
1898059,PlayerID,2024
112759,PlayerID,1996
11939,PlayerID,2020
191365,PlayerID,1976
Wandee Kameaim,Name,
106625,PlayerID,2008
39640,PlayerID,1992
Suriya Prasathinphimai,Name,
Bronze,Medal,
116666,PlayerID,1996
Sopita Tanasan,Name,
Men's Singles,Event,
239478,PlayerID,2004
Boxing Men's Light-Middleweight,Event,
Women's 66kg,Event,
Chanatip Sonkham,Name,
Vichai Khadpo,Name,
Prapawadee Jaroenrattanatarakoon,Name,
1898024,PlayerID,2024
Manut Boonjumnong,Name,
Sukanya Srisurat,Name,
191019,PlayerID,2004
